NOC,Year,Sport,sport_num_athletes,sport_medal_gold,sport_medal_silver,sport_medal_bronze,sport_num_female_athletes,sport_num_male_athletes,num_games_sports_each_year,rank_country_year,total_gold_country_year,total_silver_country_year,total_bronze_country_year,total_medal_country_year,total_athelete_country_year,host_status,future_host_status
Senegal,1964,Athletics,12,0,0,0,0,12,36,0,0,0,0,0,12,0,0
India,1964,Athletics,13,0,0,0,1,12,36,24,1,0,0,1,52,0,0
India,1964,Cycling,5,0,0,0,0,5,7,24,1,0,0,1,52,0,0
Liechtenstein,1964,Athletics,2,0,0,0,0,2,36,0,0,0,0,0,2,0,0
India,1964,Diving,2,0,0,0,0,2,0,24,1,0,0,1,52,0,0
India,1964,Gymnastics,6,0,0,0,0,6,14,24,1,0,0,1,52,0,0
India,1964,Hockey,15,15,0,0,0,15,0,24,1,0,0,1,52,0,0
India,1964,Shooting,2,0,0,0,0,2,6,24,1,0,0,1,52,0,0
India,1964,Weightlifting,2,0,0,0,0,2,7,24,1,0,0,1,52,0,0
United Kingdom,1964,Cycling,12,0,0,0,0,12,7,10,4,12,2,18,0,0,0
Hungary,1964,Boxing,5,0,0,0,0,5,10,6,10,7,5,22,182,0,0
Hungary,1964,Sailing,1,0,0,0,0,1,5,6,10,7,5,22,182,0,0
Norway,1964,Rowing,5,0,0,0,0,5,7,0,0,0,0,0,26,0,0
United States,1964,Modern Pentathlon,3,0,3,0,0,3,2,1,36,26,28,90,344,0,0
United States,1964,Judo,4,0,0,1,0,4,4,1,36,26,28,90,344,0,0
United States,1964,Gymnastics,12,0,0,0,6,6,14,1,36,26,28,90,344,0,0
United States,1964,Fencing,18,0,0,0,5,13,8,1,36,26,28,90,344,0,0
United States,1964,Equestrianism,10,0,4,0,6,4,0,1,36,26,28,90,344,0,0
United States,1964,Diving,12,3,2,3,6,6,0,1,36,26,28,90,344,0,0
Argentina,1964,Judo,3,0,0,0,0,3,4,30,0,1,0,1,102,0,0
United States,1964,Cycling,16,0,0,0,0,16,7,1,36,26,28,90,344,0,0
Ghana,1964,Football,14,0,0,0,0,14,1,35,0,0,1,1,33,0,0
Ghana,1964,Boxing,7,0,0,1,0,7,10,35,0,0,1,1,33,0,0
Ghana,1964,Athletics,12,0,0,0,3,9,36,35,0,0,1,1,33,0,0
Madagascar,1964,Athletics,3,0,0,0,0,3,36,0,0,0,0,0,3,0,0
United States,1964,Canoeing,11,0,2,1,3,8,7,1,36,26,28,90,344,0,0
United States,1964,Rowing,27,12,2,5,0,27,7,1,36,26,28,90,344,0,0
United States,1964,Boxing,10,1,0,3,0,10,10,1,36,26,28,90,344,0,0
Argentina,1964,Sailing,6,0,0,0,0,6,5,30,0,1,0,1,102,0,0
Argentina,1964,Shooting,8,0,0,0,0,8,6,30,0,1,0,1,102,0,0
Argentina,1964,Swimming,7,0,0,0,1,6,0,30,0,1,0,1,102,0,0
Argentina,1964,Weightlifting,2,0,0,0,0,2,7,30,0,1,0,1,102,0,0
Argentina,1964,Wrestling,4,0,0,0,0,4,16,30,0,1,0,1,102,0,0
Morocco,1964,Athletics,4,0,0,0,0,4,36,0,0,0,0,0,20,0,0
United States,1964,Basketball,12,12,0,0,0,12,1,1,36,26,28,90,344,0,0
Hungary,1964,Football,14,14,0,0,0,14,1,6,10,7,5,22,182,0,0
Hungary,1964,Fencing,20,12,0,0,5,15,8,6,10,7,5,22,182,0,0
Afghanistan,1964,Wrestling,8,0,0,0,0,8,16,0,0,0,0,0,8,0,0
Hungary,1964,Diving,1,0,0,0,0,1,0,6,10,7,5,22,182,0,0
Morocco,1964,Boxing,2,0,0,0,0,2,10,0,0,0,0,0,20,0,0
Hungary,1964,Cycling,7,0,0,0,0,7,7,6,10,7,5,22,182,0,0
Argentina,1964,Rowing,12,0,0,0,0,12,7,30,0,1,0,1,102,0,0
Norway,1964,Sailing,9,0,0,0,0,9,5,0,0,0,0,0,26,0,0
Argentina,1964,Gymnastics,1,0,0,0,0,1,14,30,0,1,0,1,102,0,0
United States,1964,Sailing,11,0,3,8,0,11,5,1,36,26,28,90,344,0,0
Pakistan,1964,Wrestling,6,0,0,0,0,6,16,30,0,1,0,1,41,0,0
Hungary,1964,Modern Pentathlon,3,1,0,3,0,3,2,6,10,7,5,22,182,0,0
Norway,1964,Gymnastics,2,0,0,0,0,2,14,0,0,0,0,0,26,0,0
Norway,1964,Athletics,6,0,0,0,2,4,36,0,0,0,0,0,26,0,0
Hungary,1964,Gymnastics,12,0,1,1,6,6,14,6,10,7,5,22,182,0,0
Peru,1964,Swimming,6,0,0,0,1,5,0,0,0,0,0,0,31,0,0
Peru,1964,Shooting,9,0,0,0,0,9,6,0,0,0,0,0,31,0,0
Peru,1964,Cycling,1,0,0,0,0,1,7,0,0,0,0,0,31,0,0
Peru,1964,Basketball,12,0,0,0,0,12,1,0,0,0,0,0,31,0,0
Peru,1964,Athletics,3,0,0,0,0,3,36,0,0,0,0,0,31,0,0
United States,1964,Wrestling,16,0,0,1,0,16,16,1,36,26,28,90,344,0,0
United States,1964,Weightlifting,7,0,1,1,0,7,7,1,36,26,28,90,344,0,0
Argentina,1964,Athletics,6,0,0,0,4,2,36,30,0,1,0,1,102,0,0
Argentina,1964,Football,14,0,0,0,0,14,1,30,0,1,0,1,102,0,0
Argentina,1964,Boxing,10,0,0,0,0,10,10,30,0,1,0,1,102,0,0
Argentina,1964,Equestrianism,8,0,1,0,0,8,0,30,0,1,0,1,102,0,0
Argentina,1964,Fencing,11,0,0,0,1,10,8,30,0,1,0,1,102,0,0
Luxembourg,1964,Athletics,3,0,0,0,0,3,36,0,0,0,0,0,12,0,0
Luxembourg,1964,Cycling,2,0,0,0,0,2,7,0,0,0,0,0,12,0,0
Luxembourg,1964,Fencing,2,0,0,0,2,0,8,0,0,0,0,0,12,0,0
Luxembourg,1964,Gymnastics,2,0,0,0,0,2,14,0,0,0,0,0,12,0,0
Luxembourg,1964,Shooting,1,0,0,0,0,1,6,0,0,0,0,0,12,0,0
Luxembourg,1964,Swimming,1,0,0,0,0,1,0,0,0,0,0,0,12,0,0
Luxembourg,1964,Wrestling,1,0,0,0,0,1,16,0,0,0,0,0,12,0,0
United States,1964,Water Polo,10,0,0,0,0,10,0,1,36,26,28,90,344,0,0
United States,1964,Volleyball,24,0,0,0,12,12,2,1,36,26,28,90,344,0,0
United States,1964,Swimming,48,45,8,8,21,27,0,1,36,26,28,90,344,0,0
United States,1964,Shooting,10,2,2,3,0,10,6,1,36,26,28,90,344,0,0
Argentina,1964,Cycling,10,0,0,0,0,10,7,30,0,1,0,1,102,0,0
Greece,1964,Sailing,4,0,0,0,0,4,5,0,0,0,0,0,18,0,0
Lebanon,1964,Shooting,1,0,0,0,0,1,6,0,0,0,0,0,5,0,0
Australia,1964,Fencing,18,0,0,0,5,13,8,8,6,2,10,18,243,0,0
Italy,1964,Fencing,20,0,10,1,5,15,8,5,10,10,7,27,167,0,0
Brazil,1964,Athletics,1,0,0,0,1,0,36,35,0,0,1,1,61,0,0
Soviet Union,1964,Sailing,11,0,0,0,0,11,5,0,0,0,0,0,316,0,0
Soviet Union,1964,Shooting,10,0,2,0,0,10,6,0,0,0,0,0,316,0,0
Soviet Union,1964,Swimming,21,1,1,6,8,13,0,0,0,0,0,0,316,0,0
Brazil,1964,Basketball,12,0,0,12,0,12,1,35,0,0,1,1,61,0,0
Brazil,1964,Boxing,3,0,0,0,0,3,10,35,0,0,1,1,61,0,0
Brazil,1964,Equestrianism,1,0,0,0,0,1,0,35,0,0,1,1,61,0,0
Chile,1964,Modern Pentathlon,1,0,0,0,0,1,2,0,0,0,0,0,14,0,0
Soviet Union,1964,Volleyball,23,11,12,0,12,11,2,0,0,0,0,0,316,0,0
Soviet Union,1964,Weightlifting,7,4,3,0,0,7,7,0,0,0,0,0,316,0,0
Soviet Union,1964,Wrestling,16,3,4,3,0,16,16,0,0,0,0,0,316,0,0
Netherlands,1964,Athletics,8,0,0,0,5,3,36,15,2,4,4,10,125,0,0
Netherlands,1964,Boxing,4,0,0,0,0,4,10,15,2,4,4,10,125,0,0
Netherlands,1964,Canoeing,5,0,2,0,0,5,7,15,2,4,4,10,125,0,0
Netherlands,1964,Cycling,12,4,0,4,0,12,7,15,2,4,4,10,125,0,0
Netherlands,1964,Hockey,18,0,0,0,0,18,0,15,2,4,4,10,125,0,0
Brazil,1964,Football,12,0,0,0,0,12,1,35,0,0,1,1,61,0,0
Soviet Union,1964,Water Polo,11,0,0,11,0,11,0,0,0,0,0,0,316,0,0
Brazil,1964,Judo,1,0,0,0,0,1,4,35,0,0,1,1,61,0,0
Soviet Union,1964,Rowing,26,3,0,0,0,26,7,0,0,0,0,0,316,0,0
Soviet Union,1964,Judo,4,0,0,4,0,4,4,0,0,0,0,0,316,0,0
Hong Kong,1964,Athletics,4,0,0,0,0,4,36,0,0,0,0,0,39,0,0
Hong Kong,1964,Boxing,2,0,0,0,0,2,10,0,0,0,0,0,39,0,0
Hong Kong,1964,Cycling,4,0,0,0,0,4,7,0,0,0,0,0,39,0,0
France,1964,Fencing,20,0,2,11,5,15,8,21,1,8,6,15,138,0,0
Italy,1964,Gymnastics,6,1,1,1,0,6,14,5,10,10,7,27,167,0,0
Hong Kong,1964,Hockey,17,0,0,0,0,17,0,0,0,0,0,0,39,0,0
Hong Kong,1964,Sailing,4,0,0,0,0,4,5,0,0,0,0,0,39,0,0
Hong Kong,1964,Shooting,5,0,0,0,0,5,6,0,0,0,0,0,39,0,0
Soviet Union,1964,Modern Pentathlon,3,3,1,1,0,3,2,0,0,0,0,0,316,0,0
Hong Kong,1964,Swimming,3,0,0,0,1,2,0,0,0,0,0,0,39,0,0
Switzerland,1964,Gymnastics,6,0,0,0,0,6,14,22,1,2,1,4,66,0,0
Switzerland,1964,Fencing,5,0,0,0,0,5,8,22,1,2,1,4,66,0,0
Switzerland,1964,Equestrianism,6,1,3,0,1,5,0,22,1,2,1,4,66,0,0
Zambia,1964,Wrestling,2,0,0,0,0,2,16,0,0,0,0,0,12,0,0
Switzerland,1964,Cycling,5,0,0,0,0,5,7,22,1,2,1,4,66,0,0
Switzerland,1964,Boxing,2,0,0,0,0,2,10,22,1,2,1,4,66,0,0
Philippines,1964,Athletics,11,0,0,0,6,5,36,30,0,1,0,1,47,0,0
Soviet Union,1964,Gymnastics,12,9,15,5,6,6,14,0,0,0,0,0,316,0,0
Switzerland,1964,Judo,1,0,1,0,0,1,4,22,1,2,1,4,66,0,0
Zambia,1964,Swimming,2,0,0,0,0,2,0,0,0,0,0,0,12,0,0
Brazil,1964,Modern Pentathlon,1,0,0,0,0,1,2,35,0,0,1,1,61,0,0
Brazil,1964,Swimming,4,0,0,0,0,4,0,35,0,0,1,1,61,0,0
Kenya,1964,Boxing,5,0,0,0,0,5,10,35,0,0,1,1,37,0,0
France,1964,Judo,4,0,0,0,0,4,4,21,1,8,6,15,138,0,0
Italy,1964,Equestrianism,7,5,0,3,0,7,0,5,10,10,7,27,167,0,0
Italy,1964,Diving,2,0,1,0,0,2,0,5,10,10,7,27,167,0,0
Italy,1964,Cycling,14,4,11,0,0,14,7,5,10,10,7,27,167,0,0
Italy,1964,Canoeing,4,0,0,0,0,4,7,5,10,10,7,27,167,0,0
Italy,1964,Boxing,10,2,0,3,0,10,10,5,10,10,7,27,167,0,0
Italy,1964,Basketball,12,0,0,0,0,12,1,5,10,10,7,27,167,0,0
Kenya,1964,Hockey,16,0,0,0,0,16,0,35,0,0,1,1,37,0,0
Italy,1964,Athletics,22,1,0,1,1,21,36,5,10,10,7,27,167,0,0
France,1964,Athletics,38,0,1,4,8,30,36,21,1,8,6,15,138,0,0
France,1964,Boxing,4,0,1,0,0,4,10,21,1,8,6,15,138,0,0
Mexico,1964,Sailing,11,0,0,0,0,11,5,35,0,0,1,1,93,0,1
Switzerland,1964,Athletics,12,0,0,0,0,12,36,22,1,2,1,4,66,0,0
Kenya,1964,Athletics,11,0,0,1,0,11,36,35,0,0,1,1,37,0,0
France,1964,Canoeing,2,0,2,0,0,2,7,21,1,8,6,15,138,0,0
France,1964,Cycling,14,0,0,2,0,14,7,21,1,8,6,15,138,0,0
France,1964,Gymnastics,6,0,0,0,3,3,14,21,1,8,6,15,138,0,0
Republic of the Congo,1964,Athletics,2,0,0,0,0,2,36,0,0,0,0,0,0,0,0
Brazil,1964,Sailing,5,0,0,0,0,5,5,35,0,0,1,1,61,0,0
Kenya,1964,Sailing,1,0,0,0,0,1,5,35,0,0,1,1,37,0,0
Netherlands,1964,Water Polo,11,0,0,0,0,11,0,15,2,4,4,10,125,0,0
Brazil,1964,Volleyball,10,0,0,0,0,10,2,35,0,0,1,1,61,0,0
Brazil,1964,Water Polo,11,0,0,0,0,11,0,35,0,0,1,1,61,0,0
Philippines,1964,Boxing,6,0,1,0,0,6,10,30,0,1,0,1,47,0,0
Chad,1964,Athletics,2,0,0,0,0,2,36,0,0,0,0,0,2,0,0
Netherlands,1964,Judo,4,1,0,0,0,4,4,15,2,4,4,10,125,0,0
Philippines,1964,Cycling,4,0,0,0,0,4,7,30,0,1,0,1,47,0,0
Philippines,1964,Gymnastics,3,0,0,0,1,2,14,30,0,1,0,1,47,0,0
Philippines,1964,Judo,4,0,0,0,0,4,4,30,0,1,0,1,47,0,0
Kenya,1964,Shooting,4,0,0,0,0,4,6,35,0,0,1,1,37,0,0
Philippines,1964,Sailing,3,0,0,0,0,3,5,30,0,1,0,1,47,0,0
Philippines,1964,Swimming,2,0,0,0,0,2,0,30,0,1,0,1,47,0,0
Philippines,1964,Weightlifting,1,0,0,0,0,1,7,30,0,1,0,1,47,0,0
Philippines,1964,Wrestling,4,0,0,0,0,4,16,30,0,1,0,1,47,0,0
Netherlands,1964,Rowing,17,0,2,8,0,17,7,15,2,4,4,10,125,0,0
Netherlands,1964,Sailing,7,0,0,0,0,7,5,15,2,4,4,10,125,0,0
Netherlands,1964,Shooting,1,0,0,0,0,1,6,15,2,4,4,10,125,0,0
Netherlands,1964,Swimming,26,0,6,4,15,11,0,15,2,4,4,10,125,0,0
Netherlands,1964,Volleyball,12,0,0,0,0,12,2,15,2,4,4,10,125,0,0
Australia,1964,Equestrianism,7,0,0,0,1,6,0,8,6,2,10,18,243,0,0
Switzerland,1964,Rowing,8,0,0,1,0,8,7,22,1,2,1,4,66,0,0
France,1964,Equestrianism,7,1,3,0,1,6,0,21,1,8,6,15,138,0,0
Zambia,1964,Fencing,1,0,0,0,1,0,8,0,0,0,0,0,12,0,0
Italy,1964,Rowing,18,0,5,0,0,18,7,5,10,10,7,27,167,0,0
Chile,1964,Shooting,3,0,0,0,0,3,6,0,0,0,0,0,14,0,0
Italy,1964,Modern Pentathlon,1,0,0,0,0,1,2,5,10,10,7,27,167,0,0
Italy,1964,Judo,2,0,0,0,0,2,4,5,10,10,7,27,167,0,0
Mali,1964,Athletics,2,0,0,0,0,2,36,0,0,0,0,0,2,0,0
Mexico,1964,Wrestling,4,0,0,0,0,4,16,35,0,0,1,1,93,0,1
Guyana,1964,Weightlifting,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0
Iraq,1964,Athletics,4,0,0,0,0,4,36,0,0,0,0,0,13,0,0
Soviet Union,1964,Athletics,84,5,2,11,23,61,36,0,0,0,0,0,316,0,0
Iraq,1964,Boxing,2,0,0,0,0,2,10,0,0,0,0,0,13,0,0
Puerto Rico,1964,Athletics,6,0,0,0,0,6,36,0,0,0,0,0,32,0,0
Puerto Rico,1964,Basketball,12,0,0,0,0,12,1,0,0,0,0,0,32,0,0
Puerto Rico,1964,Boxing,1,0,0,0,0,1,10,0,0,0,0,0,32,0,0
Greece,1964,Athletics,5,0,0,0,0,5,36,0,0,0,0,0,18,0,0
Puerto Rico,1964,Sailing,1,0,0,0,0,1,5,0,0,0,0,0,32,0,0
Puerto Rico,1964,Shooting,3,0,0,0,0,3,6,0,0,0,0,0,32,0,0
Puerto Rico,1964,Swimming,4,0,0,0,2,2,0,0,0,0,0,0,32,0,0
Uganda,1964,Boxing,5,0,0,0,0,5,10,0,0,0,0,0,13,0,0
Puerto Rico,1964,Weightlifting,4,0,0,0,0,4,7,0,0,0,0,0,32,0,0
Monaco,1964,Weightlifting,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0
Sweden,1964,Modern Pentathlon,3,0,0,0,0,3,2,17,2,2,4,8,94,0,0
Chile,1964,Fencing,3,0,0,0,0,3,8,0,0,0,0,0,14,0,0
Romania,1964,Canoeing,11,0,2,7,2,9,7,14,2,4,6,12,138,0,0
Chile,1964,Equestrianism,1,0,0,0,0,1,0,0,0,0,0,0,14,0,0
Romania,1964,Boxing,9,0,0,0,0,9,10,14,2,4,6,12,138,0,0
Romania,1964,Athletics,12,2,0,1,7,5,36,14,2,4,6,12,138,0,0
Italy,1964,Weightlifting,2,0,0,0,0,2,7,5,10,10,7,27,167,0,0
Italy,1964,Water Polo,12,0,0,0,0,12,0,5,10,10,7,27,167,0,0
Italy,1964,Swimming,16,0,0,0,5,11,0,5,10,10,7,27,167,0,0
Italy,1964,Shooting,5,1,0,0,0,5,6,5,10,10,7,27,167,0,0
Italy,1964,Sailing,10,0,0,0,0,10,5,5,10,10,7,27,167,0,0
Chile,1964,Boxing,4,0,0,0,0,4,10,0,0,0,0,0,14,0,0
Chile,1964,Athletics,3,0,0,0,0,3,36,0,0,0,0,0,14,0,0
Sweden,1964,Wrestling,9,0,1,1,0,9,16,17,2,2,4,8,94,0,0
Sweden,1964,Weightlifting,3,0,0,0,0,3,7,17,2,2,4,8,94,0,0
Sweden,1964,Swimming,14,0,0,0,6,8,0,17,2,2,4,8,94,0,0
Sweden,1964,Shooting,6,0,0,0,0,6,6,17,2,2,4,8,94,0,0
Sweden,1964,Sailing,11,0,3,2,0,11,5,17,2,2,4,8,94,0,0
Uganda,1964,Athletics,8,0,0,0,2,6,36,0,0,0,0,0,13,0,0
Iraq,1964,Weightlifting,7,0,0,0,0,7,7,0,0,0,0,0,13,0,0
Puerto Rico,1964,Diving,1,0,0,0,0,1,0,0,0,0,0,0,32,0,0
Sweden,1964,Canoeing,7,3,0,0,2,5,7,17,2,2,4,8,94,0,0
Mexico,1964,Weightlifting,1,0,0,0,0,1,7,35,0,0,1,1,93,0,1
Switzerland,1964,Wrestling,3,0,0,0,0,3,16,22,1,2,1,4,66,0,0
Sweden,1964,Cycling,4,0,0,4,0,4,7,17,2,2,4,8,94,0,0
Sweden,1964,Diving,2,0,0,0,1,1,0,17,2,2,4,8,94,0,0
Switzerland,1964,Shooting,8,0,0,0,0,8,6,22,1,2,1,4,66,0,0
Mexico,1964,Shooting,5,0,0,0,0,5,6,35,0,0,1,1,93,0,1
France,1964,Wrestling,3,0,0,0,0,3,16,21,1,8,6,15,138,0,0
Switzerland,1964,Sailing,7,0,0,0,0,7,5,22,1,2,1,4,66,0,0
France,1964,Weightlifting,2,0,0,0,0,2,7,21,1,8,6,15,138,0,0
France,1964,Shooting,4,0,0,0,0,4,6,21,1,8,6,15,138,0,0
France,1964,Swimming,9,0,1,0,3,6,0,21,1,8,6,15,138,0,0
Sweden,1964,Equestrianism,3,0,0,0,0,3,0,17,2,2,4,8,94,0,0
Sweden,1964,Fencing,7,0,0,0,2,5,8,17,2,2,4,8,94,0,0
Mexico,1964,Swimming,10,0,0,0,3,7,0,35,0,0,1,1,93,0,1
Sweden,1964,Gymnastics,9,0,0,0,6,3,14,17,2,2,4,8,94,0,0
Switzerland,1964,Swimming,2,0,0,0,0,2,0,22,1,2,1,4,66,0,0
Zambia,1964,Boxing,2,0,0,0,0,2,10,0,0,0,0,0,12,0,0
Zambia,1964,Athletics,5,0,0,0,0,5,36,0,0,0,0,0,12,0,0
France,1964,Rowing,22,0,3,0,0,22,7,21,1,8,6,15,138,0,0
Switzerland,1964,Weightlifting,1,0,0,0,0,1,7,22,1,2,1,4,66,0,0
Soviet Union,1964,Basketball,12,0,12,0,0,12,1,0,0,0,0,0,316,0,0
Soviet Union,1964,Boxing,10,3,4,2,0,10,10,0,0,0,0,0,316,0,0
Soviet Union,1964,Canoeing,13,7,0,1,3,10,7,0,0,0,0,0,316,0,0
Soviet Union,1964,Diving,12,0,0,1,6,6,0,0,0,0,0,0,316,0,0
Soviet Union,1964,Equestrianism,10,0,0,4,0,10,0,0,0,0,0,0,316,0,0
Soviet Union,1964,Fencing,20,11,5,2,5,15,8,0,0,0,0,0,316,0,0
France,1964,Sailing,3,0,0,0,0,3,5,21,1,8,6,15,138,0,0
Niger,1964,Boxing,1,0,0,0,0,1,10,0,0,0,0,0,1,0,0
Soviet Union,1964,Cycling,12,0,2,0,0,12,7,0,0,0,0,0,316,0,0
Sweden,1964,Athletics,16,0,0,1,1,15,36,17,2,2,4,8,94,0,0
Hungary,1968,Gymnastics,12,0,0,0,6,6,14,4,10,10,12,32,166,0,0
Hungary,1968,Football,17,17,0,0,0,17,1,4,10,10,12,32,166,0,0
Hungary,1968,Athletics,31,2,1,4,12,19,36,4,10,10,12,32,166,0,0
Hungary,1968,Cycling,7,0,0,0,0,7,7,4,10,10,12,32,166,0,0
Hungary,1968,Canoeing,10,2,6,4,2,8,7,4,10,10,12,32,166,0,0
San Marino,1968,Cycling,2,0,0,0,0,2,7,0,0,0,0,0,4,0,0
Hungary,1968,Weightlifting,7,0,1,1,0,7,7,4,10,10,12,32,166,0,0
Hungary,1968,Wrestling,13,2,0,2,0,13,16,4,10,10,12,32,166,0,0
Hungary,1968,Fencing,20,6,6,7,5,15,8,4,10,10,12,32,166,0,0
Hungary,1968,Modern Pentathlon,3,3,1,0,0,3,2,4,10,10,12,32,166,0,0
Sri Lanka,1968,Sailing,1,0,0,0,0,1,5,0,0,0,0,0,3,0,0
San Marino,1968,Shooting,2,0,0,0,0,2,7,0,0,0,0,0,4,0,0
Sri Lanka,1968,Boxing,1,0,0,0,0,1,11,0,0,0,0,0,3,0,0
Sri Lanka,1968,Athletics,1,0,0,0,0,1,36,0,0,0,0,0,3,0,0
Pakistan,1968,Wrestling,2,0,0,0,0,2,16,29,1,0,0,1,15,0,0
Hungary,1968,Sailing,4,0,0,0,0,4,5,4,10,10,12,32,166,0,0
Hungary,1968,Shooting,6,0,1,0,0,6,7,4,10,10,12,32,166,0,0
Mexico,1968,Athletics,26,0,1,0,4,22,36,15,3,3,3,9,272,1,0
Pakistan,1968,Hockey,13,13,0,0,0,13,0,29,1,0,0,1,15,0,0
Mexico,1968,Basketball,12,0,0,0,0,12,1,15,3,3,3,9,272,1,0
Fiji,1968,Athletics,1,0,0,0,0,1,36,0,0,0,0,0,1,0,0
Mexico,1968,Boxing,11,2,0,2,0,11,11,15,3,3,3,9,272,1,0
Mexico,1968,Canoeing,12,0,0,0,2,10,7,15,3,3,3,9,272,1,0
Mexico,1968,Cycling,12,0,0,0,0,12,7,15,3,3,3,9,272,1,0
Ireland,1968,Swimming,4,0,0,0,2,2,0,0,0,0,0,0,31,0,0
Hungary,1968,Swimming,14,0,0,0,7,7,0,4,10,10,12,32,166,0,0
Hungary,1968,Water Polo,11,0,0,11,0,11,0,4,10,10,12,32,166,0,0
Hungary,1968,Rowing,6,0,4,0,0,6,7,4,10,10,12,32,166,0,0
Hungary,1968,Boxing,6,0,0,0,0,6,11,4,10,10,12,32,166,0,0
United States,1968,Canoeing,12,0,0,0,2,10,7,1,45,28,34,107,355,0,0
Ethiopia,1968,Boxing,4,0,0,0,0,4,11,25,1,1,0,2,18,0,0
Sudan,1968,Boxing,3,0,0,0,0,3,11,0,0,0,0,0,5,0,0
Suriname,1968,Athletics,1,0,0,0,0,1,36,0,0,0,0,0,1,0,0
Germany,1968,Wrestling,11,2,0,0,0,11,16,0,0,0,0,0,225,0,1
Germany,1968,Weightlifting,3,0,0,0,0,3,7,0,0,0,0,0,225,0,1
Germany,1968,Water Polo,11,0,0,0,0,11,0,0,0,0,0,0,225,0,1
Ivory Coast,1968,Canoeing,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0
Germany,1968,Volleyball,12,0,0,0,0,12,2,0,0,0,0,0,225,0,1
Germany,1968,Hockey,14,0,0,0,0,14,0,0,0,0,0,0,225,0,1
Germany,1968,Swimming,24,2,10,1,13,11,0,0,0,0,0,0,225,0,1
Germany,1968,Shooting,9,0,0,2,0,9,7,0,0,0,0,0,225,0,1
Germany,1968,Sailing,8,0,0,3,0,8,5,0,0,0,0,0,225,0,1
Germany,1968,Rowing,26,6,5,0,0,26,7,0,0,0,0,0,225,0,1
Germany,1968,Modern Pentathlon,3,0,0,0,0,3,2,0,0,0,0,0,225,0,1
United States,1968,Shooting,12,1,2,0,0,12,7,1,45,28,34,107,355,0,0
Italy,1968,Cycling,16,1,1,9,0,16,7,13,3,4,9,16,167,0,0
Italy,1968,Canoeing,2,0,0,0,0,2,7,13,3,4,9,16,167,0,0
Italy,1968,Boxing,11,0,0,1,0,11,11,13,3,4,9,16,167,0,0
Italy,1968,Basketball,12,0,0,0,0,12,1,13,3,4,9,16,167,0,0
Italy,1968,Athletics,26,0,0,2,4,22,36,13,3,4,9,16,167,0,0
United States,1968,Sailing,11,5,0,0,0,11,5,1,45,28,34,107,355,0,0
Nigeria,1968,Football,16,0,0,0,0,16,1,0,0,0,0,0,36,0,0
Sudan,1968,Athletics,2,0,0,0,0,2,36,0,0,0,0,0,5,0,0
Ivory Coast,1968,Athletics,7,0,0,0,0,7,36,0,0,0,0,0,0,0,0
Switzerland,1968,Wrestling,3,0,0,0,0,3,16,33,0,1,4,5,85,0,0
Switzerland,1968,Swimming,4,0,0,0,0,4,0,33,0,1,4,5,85,0,0
Ethiopia,1968,Athletics,9,1,1,0,0,9,36,25,1,1,0,2,18,0,0
United States,1968,Water Polo,11,0,0,0,0,11,0,1,45,28,34,107,355,0,0
United States,1968,Volleyball,24,0,0,0,12,12,2,1,45,28,34,107,355,0,0
United States,1968,Swimming,52,52,15,16,22,30,0,1,45,28,34,107,355,0,0
Israel,1968,Swimming,6,0,0,0,2,4,0,0,0,0,0,0,29,0,0
Israel,1968,Shooting,4,0,0,0,0,4,7,0,0,0,0,0,29,0,0
Israel,1968,Football,17,0,0,0,0,17,1,0,0,0,0,0,29,0,0
Israel,1968,Athletics,2,0,0,0,1,1,36,0,0,0,0,0,29,0,0
United States,1968,Cycling,15,0,0,0,0,15,7,1,45,28,34,107,355,0,0
United States,1968,Diving,11,2,0,4,6,5,0,1,45,28,34,107,355,0,0
Ethiopia,1968,Cycling,5,0,0,0,0,5,7,25,1,1,0,2,18,0,0
United States,1968,Equestrianism,11,1,4,1,5,6,0,1,45,28,34,107,355,0,0
United States,1968,Gymnastics,12,0,0,0,6,6,14,1,45,28,34,107,355,0,0
United States,1968,Modern Pentathlon,3,0,0,0,0,3,2,1,45,28,34,107,355,0,0
United States,1968,Rowing,27,0,2,2,0,27,7,1,45,28,34,107,355,0,0
Senegal,1968,Athletics,9,0,0,0,0,9,36,0,0,0,0,0,21,0,0
Senegal,1968,Basketball,12,0,0,0,0,12,1,0,0,0,0,0,21,0,0
Switzerland,1968,Gymnastics,6,0,0,0,0,6,14,33,0,1,4,5,85,0,0
Switzerland,1968,Modern Pentathlon,1,0,0,0,0,1,2,33,0,1,4,5,85,0,0
Switzerland,1968,Rowing,17,0,0,5,0,17,7,33,0,1,4,5,85,0,0
Switzerland,1968,Sailing,6,0,3,0,0,6,5,33,0,1,4,5,85,0,0
Switzerland,1968,Shooting,10,0,0,1,0,10,7,33,0,1,4,5,85,0,0
United States,1968,Fencing,20,0,0,0,5,15,8,1,45,28,34,107,355,0,0
United States,1968,Boxing,11,2,1,4,0,11,11,1,45,28,34,107,355,0,0
Belgium,1968,Swimming,6,0,0,0,2,4,0,36,0,1,1,2,82,0,0
United States,1968,Athletics,91,24,6,7,25,66,36,1,45,28,34,107,355,0,0
